CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL603078	603355	CHEMBL603078	603355		15	419.25	3.92	68.18	0	COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1c3c(Br)cnn3C	3121223	IC50	=	.2512	nM	9.6	pIC50	=	9.6				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612567	CHEMBL1074221	B	Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49664	CHEMBL1157565	20143782	J. Med. Chem.	2010	53	5	1923	722	CHEMBL3307715	HEK293
CHEMBL85	7714	CHEMBL85	7714	RISPERIDONE	RISPERIDONE	410.48	3.32	61.94	0	CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	7807021	IC50	=	.346	nM	9.46	IC50	=	.000346	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL708	33664	CHEMBL708	33664	ZIPRASIDONE	57(Ziprasidone)	412.94	4.26	76.71	0	Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45	1617790	IC50	=	.42	nM	9.38	IC50	=	.42	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	321230	CHEMBL881230	B	Inhibitory concentration against 5-hydroxytryptamine 2 receptor	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	30228	CHEMBL1140446	16220969	J. Med. Chem.	2005	48	21	6523			
CHEMBL600012	602563	CHEMBL600012	602563		16a	505.71	5.87	52.24	2	O=S(=O)(N(CCCN1CCN(CC1)c2ccccc2)CC3CCCCC3)c4ccc5ccccc5c4	3091393	IC50	=	.7	nM	9.16	IC50	=	.7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	608657	CHEMBL1067143	B	Displacement of [3H]ketanserin from human recombinant 5HT2A receptor expressed in avCHO-K1 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49591	CHEMBL1156889	20096593	Bioorg. Med. Chem.	2010	18	4	1665	485	CHEMBL3307512	CHO-K1
CHEMBL598171	603814	CHEMBL598171	603814		38	437.24	4.13	68.18	0	COc1ccc(NC(=O)Nc2cc(F)cc(F)c2)cc1c3c(Br)cnn3C	3121315	IC50	=	1.259	nM	8.9	pIC50	=	8.9				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612567	CHEMBL1074221	B	Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49664	CHEMBL1157565	20143782	J. Med. Chem.	2010	53	5	1923	722	CHEMBL3307715	HEK293
CHEMBL605636	603624	CHEMBL605636	603624		28	421.68	4.15	79.18	0	Cn1ncc(Br)c1c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2O	3121275	IC50	=	1.585	nM	8.8	pIC50	=	8.8				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612567	CHEMBL1074221	B	Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	49664	CHEMBL1157565	20143782	J. Med. Chem.	2010	53	5	1923	722	CHEMBL3307715	HEK293
CHEMBL1108	152751	CHEMBL1108	152751	DROPERIDOL	DROPERIDOL	379.43	3.05	52.65	0	Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34	7675452	IC50	=	2.584	nM	8.59	IC50	=	.002584	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	774690	CHEMBL1909211	B	DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2A radioligand binding (ligand: [3H] Ketanserin)	15	DrugMatrix			32644	Autocuration	BAO_0000249	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	59306	CHEMBL1909046							485	CHEMBL3307512	CHO-K1
CHEMBL85735	135587	CHEMBL85735	135587		3e	308.42	4.15	15.71	0	CN(C)CC1CC2N(O1)c3cc(C)ccc3Cc4ccccc24	1165689	IC50	=	3.09	nM	8.51	pIC50	=	8.51				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	2509	CHEMBL617396	B	Binding affinity at human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells by [125I]R91150 displacement.	1	Scientific Literature				Expert	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	8	Homologous protein			5105	CHEMBL1135381	11755365	Bioorg. Med. Chem. Lett.	2002	12	2	249	307	CHEMBL3307946	L929
CHEMBL461631	453350	CHEMBL461631	453350		55	275.77	4.46	21.26	0	CNC(C)c1ccc(Cl)cc1Oc2ccc(C)cc2	2587060	IC50	=	3.54	nM	8.45	IC50	=	3.54	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	558174	CHEMBL962308	B	Displacement of [3H]ketanserin from 5HT2A receptor	1	Scientific Literature				Intermediate	BAO_0000357	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	8	Homologous protein			44897	CHEMBL1152152	18948001	Bioorg. Med. Chem. Lett.	2008	18	23	6088			
CHEMBL386612	368581	CHEMBL386612	368581		15	337.43	3.51	36.42	0	CC(C)(Cc1ccccc1)NC2=NCCNC(=C2)c3ccccc3F	1809711	IC50	=	3.8	nM	8.42	IC50	=	3.8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	424570	CHEMBL853921	B	Displacement of [3H]ketanserin from human 5HT2A receptor expressed in CHOK1 cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	107	CHEMBL224	SINGLE PROTEIN	P28223	Serotonin 2a (5-HT2a) receptor	Homo sapiens	9	Protein	7tm_1	high	34921	CHEMBL1139732	16971119	Bioorg. Med. Chem. Lett.	2006	16	23	6058	485	CHEMBL3307512	CHO-K1
