CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL2063246	1356642	CHEMBL2063246	1356642		10m	467.35	5.68	79.94	1	Clc1ccc(cc1)c2c3OCCCC(NC(=O)C4(CC4)C#N)c3nn2c5ccccc5Cl	10979860	Ki	=	.08	nM	10.1	Ki	=	.08	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	830979	CHEMBL2065579	F	Antagonist activity at human CB1 receptor expressed in CHO-K1 cells assessed as inhibition of CP-55940-induced [35S]GTPgammaS binding incubated for 10 mins prior to CP-55940-challenge measured after 1 hr by beta counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	62762	CHEMBL2062446	24900484	ACS Med. Chem. Lett.	2012	3	5	397	485	CHEMBL3307512	CHO-K1
CHEMBL2063240	1356636	CHEMBL2063240	1356636		10g	486.39	5.47	65.38	1	Clc1ccc(cc1)c2c3OCCCC(NC(=O)C4CCOCC4)c3nn2c5ccccc5Cl	10981115	Ki	=	.09	nM	10.05	Ki	=	.09	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	830976	CHEMBL2065576	B	Displacement of [3H]SR141716A form human CB1 receptor expressed in HEK293 cells after 60 mins by beta counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	62762	CHEMBL2062446	24900484	ACS Med. Chem. Lett.	2012	3	5	397	722	CHEMBL3307715	HEK293
CHEMBL2063245	1356641	CHEMBL2063245	1356641		10l	445.34	5.46	68.18	1	CCNC(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4	10979859	Ki	=	.11	nM	9.96	Ki	=	.11	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	830979	CHEMBL2065579	F	Antagonist activity at human CB1 receptor expressed in CHO-K1 cells assessed as inhibition of CP-55940-induced [35S]GTPgammaS binding incubated for 10 mins prior to CP-55940-challenge measured after 1 hr by beta counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	62762	CHEMBL2062446	24900484	ACS Med. Chem. Lett.	2012	3	5	397	485	CHEMBL3307512	CHO-K1
CHEMBL2063244	1356640	CHEMBL2063244	1356640		10k	460.35	6.49	65.38	1	CC(C)OC(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4	10979858	Ki	=	.12	nM	9.92	Ki	=	.12	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	830979	CHEMBL2065579	F	Antagonist activity at human CB1 receptor expressed in CHO-K1 cells assessed as inhibition of CP-55940-induced [35S]GTPgammaS binding incubated for 10 mins prior to CP-55940-challenge measured after 1 hr by beta counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	62762	CHEMBL2062446	24900484	ACS Med. Chem. Lett.	2012	3	5	397	485	CHEMBL3307512	CHO-K1
CHEMBL220360	364983	CHEMBL220360	364983	TARANABANT	3	515.95	6.63	75	2	C[C@H](NC(=O)C(C)(C)Oc1ccc(cn1)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N	2690991	Ki	=	.3	nM	9.52	Ki	=	.3	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	579533	CHEMBL1059680	B	Displacement of [3H]rimonabant from human CB1 receptor expressed in HEK293 cells by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	47927	CHEMBL1152367	19520572	Bioorg. Med. Chem. Lett.	2009	19	15	4183	722	CHEMBL3307715	HEK293
CHEMBL559612	559235	CHEMBL559612	559235	CP-55940	CP-55940	376.57	6.16	60.69	1	CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1	5250482	Ki	=	.3162	nM	9.5	pKi	=	9.5				1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	728037	CHEMBL1686908	B	Displacement of [3H]CP55940 from human cannabinoid CB1 receptor expressed in insect Sf9 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	55784	CHEMBL1681724	21316962	Bioorg. Med. Chem. Lett.	2011	21	6	1748			
CHEMBL1760646	1137921	CHEMBL1760646	1137921		3	475.46	5.77	96.51	1	COc1ccc(OC(F)(F)F)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)CO	6161502	Ki	=	.3981	nM	9.4	pKi	=	9.4				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	740401	CHEMBL1764459	B	Displacement of [3H]SR141716A from human CB1 receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	57182	CHEMBL1759935	21334892	Bioorg. Med. Chem. Lett.	2011	21	7	2034	449	CHEMBL3308072	CHO
CHEMBL19847	22577	CHEMBL19847	22577		23	368.55	7.11	29.46	1	CCCCCCC1(CC1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C	2056812	Ki	=	.44	nM	9.36	Ki	=	.44	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	459063	CHEMBL925155	B	Binding affinity to CB1 receptor	1	Scientific Literature				Intermediate	BAO_0000357	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	8	Homologous protein			37966	CHEMBL1140633	17521177	J. Med. Chem.	2007	50	12	2875			
CHEMBL108085	179857	CHEMBL108085	179857		14	400.55	5.91	47.92	1	CCCCCCC1(OCCO1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C	2005636	Ki	=	.5248	nM	9.28	Log Ki	=	-9.28				1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	451950	CHEMBL901108	B	Binding affinity at CB1 receptor	1	Scientific Literature				Intermediate	BAO_0000357	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	8	Homologous protein			37232	CHEMBL1138309	17980589	Bioorg. Med. Chem. Lett.	2007	17	24	6754			
CHEMBL1801086	1162157	CHEMBL1801086	1162157		10c	483.95	3.87	117.15	0	C[C@@H](NC(=O)C1(CC1)NC(=O)c2cncs2)c3ccc(cc3F)n4nc(Cl)c5ccccc45	6272804	Ki	=	.54	nM	9.27	Ki	=	.54	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	755296	CHEMBL1804296	B	Displacement of radioligand from human CB1 receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	87	CHEMBL218	SINGLE PROTEIN	P21554	Cannabinoid CB1 receptor	Homo sapiens	9	Protein	7tm_1	high	58132	CHEMBL1800002	20971001	Bioorg. Med. Chem. Lett.	2010	20	23	7011	449	CHEMBL3308072	CHO
