CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL225230	373588	CHEMBL225230	373588	R-N-PROPYLNORAPOMORPHINE	(+)-N-n-propylnorapomorphine	295.38	3.99	43.7	0	CCCN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	735584	IC50	=	.000000001	nM		IC50	=	.000000001	nM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	59782	CHEMBL671063	F	Agonist required to inhibit Dopamine receptor D2 photoinactivation by 50% with Iodazidoclebopride using [3H]-Spiperone	1	Scientific Literature	Canis lupus familiaris		9615	Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			8528	CHEMBL1122967	3156993	J. Med. Chem.	1985	28	4	405			
CHEMBL479587	467190	CHEMBL479587	467190	(-)-BUTACLAMOL	(-)-butaclamol	361.52	4.71	23.47	0	CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc5cccc([C@H]2C1)c35	742214	IC50	>	.00001	nM		IC50	>	.00001	nM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	59783	CHEMBL671743	F	Antagonist required to inhibit Dopamine receptor D2 photoinactivation by 50% with Iodazidoclebopride using [3H]spiperone	1	Scientific Literature	Canis lupus familiaris		9615	Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			8528	CHEMBL1122967	3156993	J. Med. Chem.	1985	28	4	405			
CHEMBL39	2214	CHEMBL39	2214	SEROTONIN	Serotonin	176.22	1.31	62.03	0	NCCc1c[nH]c2ccc(O)cc12	739473	IC50	=	.0003	nM		IC50	=	.0003	nM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	59782	CHEMBL671063	F	Agonist required to inhibit Dopamine receptor D2 photoinactivation by 50% with Iodazidoclebopride using [3H]-Spiperone	1	Scientific Literature	Canis lupus familiaris		9615	Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			8528	CHEMBL1122967	3156993	J. Med. Chem.	1985	28	4	405			
CHEMBL1276585	712553	CHEMBL1276585	712553		38	320.43	3.16	61.8	0	CCCc1cc(O)c(OC)c(c1)C(=O)NC[C@@H]2CCCN2CC	3550752	IC50	=	.5012	nM	9.3	pIC50	=	9.3				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	685575	CHEMBL1285353	F	Antagonist activity at dopamine D2 receptor	1	Scientific Literature				Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			53820	CHEMBL1275273	20728966	Eur. J. Med. Chem.	2010	45	11	4856			
CHEMBL71	6216	CHEMBL71	6216	CHLORPROMAZINE	Chlorpromazine	318.86	4.74	31.78	0	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	15186915	IC50	=	1	nM	9	IC50	=	1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1468781	CHEMBL3414320	B	Antagonist activity against human recombinant dopmaine D2L receptor expressed in CHOK1 cells assessed as reduction in apomorphine-induced increase in intracellular Ca2+ levels by aequorin based radiometric and luminescence plate counting method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	9	Protein	7tm_1	high	91325	CHEMBL3407464	25557493	Eur. J. Med. Chem.	2015	92		221			
CHEMBL1276647	712616	CHEMBL1276647	712616		46	334.45	3.64	61.8	0	CCN1CCC[C@H]1CNC(=O)c2c(CC)c(CC)cc(O)c2OC	3550760	IC50	=	1.778	nM	8.75	pIC50	=	8.75				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	685575	CHEMBL1285353	F	Antagonist activity at dopamine D2 receptor	1	Scientific Literature				Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			53820	CHEMBL1275273	20728966	Eur. J. Med. Chem.	2010	45	11	4856			
CHEMBL3084515	1594406	CHEMBL3084515	1594406		44	367.87	4.26	36.61	0	O[C@]1(C[C@H]2CC[C@@H](C1)N2Cc3coc4ccccc34)c5ccc(Cl)cc5	2362402	IC50	=	1.92	nM	8.72	IC50	=	1.92	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	538667	CHEMBL1033065	F	Antagonist activity at dopamine D2 receptor	1	Scientific Literature				Intermediate	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			45210	CHEMBL1140093	18774793	J. Med. Chem.	2008	51	19	6095			
CHEMBL1276529	712496	CHEMBL1276529	712496		34	306.4	2.7	61.8	0	CCN1CCC[C@H]1CNC(=O)c2cc(CC)cc(O)c2OC	3550748	IC50	=	2.884	nM	8.54	pIC50	=	8.54				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	685575	CHEMBL1285353	F	Antagonist activity at dopamine D2 receptor	1	Scientific Literature				Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			53820	CHEMBL1275273	20728966	Eur. J. Med. Chem.	2010	45	11	4856			
CHEMBL1276615	712583	CHEMBL1276615	712583		42	354.87	3.82	61.8	0	CCCc1cc(O)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1Cl	3550756	IC50	=	3.236	nM	8.49	pIC50	=	8.49				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	685575	CHEMBL1285353	F	Antagonist activity at dopamine D2 receptor	1	Scientific Literature				Autocuration	BAO_0000019	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			53820	CHEMBL1275273	20728966	Eur. J. Med. Chem.	2010	45	11	4856			
CHEMBL1202215	676166	CHEMBL126633	211197		5b	326.86	4.72	6.48	0	Br.Clc1ccccc1N2CCN(C[C@H]3C[C@@H]3c4ccccc4)CC2	290113	IC50	=	5	nM	8.3	IC50	=	5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	59915	CHEMBL671074	B	Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand	1	Scientific Literature				Expert	BAO_0000357	72	CHEMBL217	SINGLE PROTEIN	P14416	Dopamine D2 receptor	Homo sapiens	8	Homologous protein			15668	CHEMBL1133592	11052797	J. Med. Chem.	2000	43	21	3923			
