inchikey,smiles,molwt,logp,HBA,HBD
OIRCOABEOLEUMC-GEJPAHFPSA-N,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,2180.316999999999,-8.116429999999927,57,31
BLCLNMBMMGCOAS-URPVMXJPSA-N,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,1269.4329999999984,-3.105700000000015,32,20
NFLWUMRGJYTJIN-NXBWRCJVSA-N,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1069.2379999999998,-4.132030000000018,26,18
SBNPWPIBESPSIF-MHWMIDJBSA-N,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,1431.0640000000005,-0.5061300000000097,31,20
PMATZTZNYRCHOR-CGLBZJNRSA-N,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1202.634999999999,3.2690000000000046,23,5
SFKQVVDKFKYTNA-DZCXQCEKSA-N,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1040.2399999999996,-4.0347000000000195,24,17
DEQANNDTNATYII-OULOTJBUSA-N,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,1019.2609999999996,-0.8054000000000054,20,15
NGVDGCNFYWLIFO-UHFFFAOYSA-N,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,247.14299999999997,0.51742,7,3
,CC1=C2N3=C(C=C4N5=C(C(C)=C6N7C8C(CC(N)=O)C6(C)CCC(=O)NCC(C)OP(=O)(O)OC6C(CO)OC(C6O)n6cn(c9cc(C)c(C)cc96)~[Co]7~5~3(C#N)~N3=C1C(CCC(N)=O)C(C)(CC(N)=O)C83C)C(CCC(N)=O)C4(C)C)C(CCC(N)=O)C2(C)CC(N)=O,1356.395999999999,3.3542200000000104,28,16
MSTNYGQPCMXVAQ-KIYNQFGBSA-N,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,445.4360000000003,-0.2819999999999996,13,9
HNDVDQJCIGZPNO-YFKPBYRVSA-N,NC(Cc1cnc[nH]1)C(=O)O,155.157,-0.6358999999999997,5,4
MEFKEPWMEQBLKI-AIRLBKTGSA-O,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,399.45300000000026,-1.922199999999996,11,7
LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(=O)O,88.062,-0.3400000000000001,3,1
COLNVLDHVKWLRT-QMMMGPOBSA-N,NC(Cc1ccccc1)C(=O)O,165.19199999999998,0.6409999999999996,3,3
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C(O)CCCCC1SCC2NC(=O)NC21,244.31599999999992,0.7967999999999997,5,3
OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO,104.173,-0.31510000000000016,2,1
KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCCC(N)C(=O)O,146.19000000000003,-0.4726999999999992,4,5
ODKSFYDXXFIFQN-BYPYZUCNSA-N,N=C(N)NCCCC(N)C(=O)O,174.20400000000004,-1.338429999999999,6,7
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1OC(C(O)CO)C(O)=C1O,176.124,-1.4074000000000002,6,4
PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN,202.34599999999992,-0.3565999999999998,4,6
CKLJMWTZIZZHCS-REOHCLBHSA-N,NC(CC(=O)O)C(=O)O,133.103,-1.1269999999999996,5,4
AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCCC(N)C(=O)O,132.16300000000004,-0.8627999999999982,4,5
ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CCC(N)C(=O)O,146.146,-1.3362000000000003,5,5
UDMBCSSLTHHNCD-KQYNXXCUSA-N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,347.22400000000016,-1.8629999999999982,12,6
DTOSIQBPPRVQHS-PDBXOOCHSA-N,CCC=CCC=CCC=CCCCCCCCC(=O)O,278.43600000000004,5.660500000000006,2,1
MTCFGRXMJLQNBG-REOHCLBHSA-N,NC(CO)C(=O)O,105.093,-1.6093999999999995,4,4
FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(N)C(=O)O,149.215,0.15139999999999998,3,3
OUYCCCASQSFEME-QMMMGPOBSA-N,NC(Cc1ccc(O)cc1)C(=O)O,181.191,0.3465999999999996,4,4
GMRQFYUYWCNGIN-NKMMMXOESA-N,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,416.6460000000002,5.704700000000008,3,3
KBPHJBAIARWVSC-DKLMTRRASA-N,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,568.8860000000003,10.403299999999994,2,2
LEVWYRKDKASIDU-IMJSIDKUSA-N,NC(CSSCC(N)C(=O)O)C(=O)O,240.30599999999998,-0.8083999999999987,6,6
KDYFGRWQOYBRFD-UHFFFAOYSA-N,O=C(O)CCC(=O)O,118.088,-0.06420000000000003,4,2
AUNGANRZJHBGPY-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,376.3690000000001,-1.7235599999999989,10,5
MBLBDJOUHNCFQT-LXGUWJNJSA-N,CC(=O)NC(C=O)C(O)C(O)C(O)CO,221.20899999999997,-3.2349999999999994,7,5
WHUUTDBJXJRKMK-VKHMYHEASA-N,NC(CCC(=O)O)C(=O)O,147.13,-0.7368999999999997,5,4
RWSXRVCMGQZWBV-WDSKDSINSA-N,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,307.3280000000001,-2.2060999999999966,9,6
UNJJBGNPUUVVFQ-ZJUUUORDSA-N,CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(N)C(=O)O,385.30600000000027,0.19699999999999962,11,4
DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,75.067,-0.9702999999999999,3,3
JWUBBDSIWDLEOM-DTOXIADCSA-N,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,400.6470000000002,6.733900000000009,2,2
