CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL551816	560820	CHEMBL551816	560820		rac-38	569.38	6.36	70.39	2	CCN(CC(O)(CNc1cccc2c1cnn2c3ccc(F)cc3)C(F)(F)F)C(=O)c4c(Cl)cccc4Cl	2715512	IC50	=	.1259	nM	9.9	pIC50	=	9.9				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	580474	CHEMBL1052501	F	Agonist activity at GR in human A549 cells by NF-kappaB transrepression assay	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	48046	CHEMBL1153077	19592247	Bioorg. Med. Chem. Lett.	2009	19	16	4846	646	CHEMBL3307651	A549
CHEMBL564160	555584	CHEMBL564160	555584		rac-33	532.51	5.73	70.39	2	CCN(CC(O)(CNc1cc(C)cc2c1cnn2c3ccc(F)cc3)C(F)(F)F)C(=O)c4ccccc4F	2715519	IC50	=	.1995	nM	9.7	pIC50	=	9.7				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	580474	CHEMBL1052501	F	Agonist activity at GR in human A549 cells by NF-kappaB transrepression assay	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	48046	CHEMBL1153077	19592247	Bioorg. Med. Chem. Lett.	2009	19	16	4846	646	CHEMBL3307651	A549
CHEMBL397920	389298	CHEMBL397920	389298		23	488.6	5.37	100.55	1	CO\N=C(/C)\c1ccsc1\C=C\2/Oc3ccc(O)c(OC)c3c4ccc5NC(C)(C)C=C(C)c5c24	1926394	IC50	=	.2	nM	9.7	IC50	=	.2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	445865	CHEMBL896156	B	Activity at human GR expressed in NHDFneo cells assessed as inhibition of IL-6 production	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	36669	CHEMBL1148778	17705362	J. Med. Chem.	2007	50	19	4699			
CHEMBL3706942	2038948	CHEMBL3706942	2038948		15	503.56	5.43	69.18	2	COCOCc1cc(F)ccc1\C=C\2/Oc3ccc(O)c(OC)c3c4ccc5NC(C)(C)C=C(C)c5c24	1970198	IC50	=	.4	nM	9.4	IC50	=	.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	447640	CHEMBL896647	F	Antagonist activity at GR assessed as inhibition of dexamethasone-induced GRE activation	1	Scientific Literature				Intermediate	BAO_0000019	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	8	Homologous protein			36808	CHEMBL1149550	17553679	Bioorg. Med. Chem. Lett.	2007	17	15	4158			
CHEMBL384467	365281	CHEMBL384467	365281	DEXAMETHASONE	Dexamethasone	392.46	1.71	94.83	0	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	14566761	IC50	=	.5	nM	9.3	IC50	=	.5	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1338549	CHEMBL3241426	B	Agonist activity at glucocorticoid receptor in human foreskin fibroblasts assessed as inhibition of IL-1-induced IL-6 production by trans-repression assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	82238	CHEMBL3232739	24656565	Bioorg. Med. Chem. Lett.	2014	24	8	1934			
CHEMBL1473	401141	CHEMBL1473	401141	FLUTICASONE PROPIONATE	2 (Fluticasone Propionate, FP)	500.57	4.09	105.97	1	CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF	744321	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	71413	CHEMBL685131	B	Inhibition of [3H]dexamethasone binding to human Glucocorticoid Receptor	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	15429	CHEMBL1133171	10633034	J. Med. Chem.	2000	43	1	19			
CHEMBL238360	401124	CHEMBL238360	401124		55D1E1	428.49	5.85	45.15	1	Cc1ccc2c(NCC(O)(CC3(C)CCCc4ccccc34)C(F)(F)F)cccc2n1	2008293	IC50	=	.5012	nM	9.3	pIC50	=	9.3				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	452406	CHEMBL902642	F	Agonist activity at glucocorticoid receptor in human A549 cells by NF-kappaB transrepression assay	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	37266	CHEMBL1138343	18038970	J. Med. Chem.	2007	50	26	6519	646	CHEMBL3307651	A549
CHEMBL1276308	712273	CHEMBL1276308	712273	MIFEPRISTONE	RU-486 Mifepristone	429.59	5.66	40.54	1	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C	493318	IC50	=	.8	nM	9.1	IC50	=	.8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	71263	CHEMBL685257	B	Inhibitory activity against human glucocorticoid receptor (hGR)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	13890	CHEMBL1129561	8627601	J. Med. Chem.	1996	39	9	1778			
CHEMBL2022656	1338027	CHEMBL2022656	1338027		46	596.74	5.25	139.57	2	C[C@]12Cc3cnn(c3C=C1CC[C@H]4[C@@H]5CC[C@](O)(C(=O)CSc6oc7cccnc7n6)[C@@]5(C)C[C@H](O)[C@H]24)c8ccccc8	10863800	IC50	=	.89	nM	9.05	IC50	=	.89	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	816568	CHEMBL2025282	B	Transrepression activity at glucocorticoid receptor in human H292 cells assessed as inhibition of TNF-induced IL8 production	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	61735	CHEMBL2021850	22465636	Bioorg. Med. Chem. Lett.	2012	22	9	3291			
CHEMBL221686	368774	CHEMBL221686	368774		6a	416.55	5.48	46.53	1	COc1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC)[C@@H]4CCC5=CC(=O)CCC5=C24	1811249	IC50	=	.9	nM	9.05	IC50	=	.9	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	424793	CHEMBL909042	B	Binding affinity to human GR	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	25	CHEMBL2034	SINGLE PROTEIN	P04150	Glucocorticoid receptor	Homo sapiens	9	Protein	Hormone_recep	medium	34943	CHEMBL1145292	16987661	Bioorg. Med. Chem. Lett.	2006	16	23	6086			
