CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL3941787	2151158	CHEMBL3941787	2151158		BDBM200314	586.03	4.05	119.86	1	Oc1ncccc1S(=O)(=O)CC[C@@H]2OCC[C@@]3(C2COc4c(F)ccc(F)c34)S(=O)(=O)c5ccc(Cl)cc5	17732038	IC50	=	2.8	nM	8.55	IC50	=	2.8	nM	356375		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1641096	CHEMBL3887819	B	Electrochemiluminescence (ECL)-based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102845	CHEMBL3886460			2016								
CHEMBL3672732	2005756	CHEMBL3672732	2005756		BDBM155142	446.98	5.38	83.76	1	CO[C@@H]1CC[C@]2(CC1)CCc3ccc(cc3C24N=C(C)C(=N4)N)c5cc(Cl)cc(c5)C#N	17678308	IC50	=	4.5	nM	8.35	IC50	=	4.5	nM	297478		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528822	CHEMBL3705766	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94821	CHEMBL3638386			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL3904071	2113442	CHEMBL3904071	2113442		BDBM200308	571.02	3.74	112.52	1	Fc1ccc(F)c2c1OCC3[C@H](CCS(=O)(=O)c4cnccn4)OCC[C@@]23S(=O)(=O)c5ccc(Cl)cc5	17732032	IC50	=	5.5	nM	8.26	IC50	=	5.5	nM	356369		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1641096	CHEMBL3887819	B	Electrochemiluminescence (ECL)-based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102845	CHEMBL3886460			2016								
CHEMBL3961972	2171343	CHEMBL3961972	2171343		BDBM200303	584.06	4.49	99.63	1	Fc1ccc(F)c2c1OCC3[C@H](CCS(=O)(=O)Cc4cccnc4)OCC[C@@]23S(=O)(=O)c5ccc(Cl)cc5	17732027	IC50	=	6.6	nM	8.18	IC50	=	6.6	nM	356364		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1641096	CHEMBL3887819	B	Electrochemiluminescence (ECL)-based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102845	CHEMBL3886460			2016								
CHEMBL236184	402145	CHEMBL236184	402145		rac-29	528.12	3.72	90.39	1	CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO	1983203	IC50	=	8.3	nM	8.08	IC50	=	8.3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449195	CHEMBL899460	B	Inhibition of gamma-secretase assessed as reduction of cell A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL3899794	2109165	CHEMBL3899794	2109165		BDBM250501	518.9	5.34	78.9	2	C[P@@]1(=O)OC[C@@]2(CCC[C@@]3([C@H]2COc4c(F)ccc(F)c34)S(=O)(=O)c5ccc(Cl)cc5)CO1	17796698	IC50	=	9.5	nM	8.02	IC50	=	9.5	nM	436737		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1642419	CHEMBL3889142	B	Electrochemiluminescence (ECL)-Based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database				Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			103347	CHEMBL3886962			2016								
CHEMBL3659994	1992889	CHEMBL3659994	1992889		BDBM103952	488.94	3.22	93.06	0	OCC(O)CC[C@@H]1OCC[C@@]2([C@H]1COc3c(F)ccc(F)c23)S(=O)(=O)c4ccc(Cl)cc4	15811113	IC50	=	15	nM	7.82	IC50	=	15	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1527867	CHEMBL3705103	B	Pharmacological Assay: Gamma-secretase activity was determined as described by Zhang et al. (Biochemistry, 40(16), 5049-5055, 2001).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94170	CHEMBL3638857			2013								
CHEMBL3905561	2114932	CHEMBL3905561	2114932		BDBM200313	600.06	4.35	108.86	1	COc1ccc(cn1)S(=O)(=O)CC[C@@H]2OCC[C@@]3(C2COc4c(F)ccc(F)c34)S(=O)(=O)c5ccc(Cl)cc5	17732037	IC50	=	16.5	nM	7.78	IC50	=	16.5	nM	356374		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1641096	CHEMBL3887819	B	Electrochemiluminescence (ECL)-based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102845	CHEMBL3886460			2016								
CHEMBL208504	345599	CHEMBL208504	345599		65	559.13	5.78	104.53	2	CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O)C(=O)N	1710361	IC50	=	17	nM	7.77	IC50	=	17	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	350088	CHEMBL865069	F	Inhibition of beta-amyloid peptide production in CHO N9 cell line	1	Scientific Literature				Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			31064	CHEMBL1147000	16473009	Bioorg. Med. Chem. Lett.	2006	16	9	2357					
CHEMBL3913223	2122594	CHEMBL3913223	2122594		BDBM155116	426.56	4.54	72.86	0	CO[C@@H]1CC[C@@]2(CC1)Cc3cc(C)c(cc3C24N=C(C)C(=N4)N)c5cncc(c5)C#CC	15872098	IC50	=	17	nM	7.77	IC50	=	17	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528818	CHEMBL3705694	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94820	CHEMBL3638627			2015				749	CHEMBL3307740	SH-SY5Y		
